id,first_name,last_name,email,phone_number,is_verified
3941624,Eko,Handayani,putri18@hotmail.com,+62-22-136-7807,no
8368862,Bakiadi,Padmasari,bakijanwaskita@yahoo.com,+62-27-881-0740,no
4988849,Gilda,Situmorang,saragihvicky@hotmail.com,+62-147-773-6456,yes
1829534,Warji,Winarsih,pudjiastutiomar@yahoo.com,+62 (261) 625-0612,yes
3013105,Dewi,Tarihoran,ihsan31@hotmail.com,+62 (803) 710-3082,yes
6458201,Bancar,Ardianto,jabal05@yahoo.com,+62 (79) 797-0809,no
3649628,Daruna,Mansur,karenhassanah@yahoo.com,(0201) 598 1531,yes
7859697,Gilda,Prakasa,gunartorendy@gmail.com,+62 (26) 015-4162,no
2974623,Edison,Tamba,aryanimustofa@hotmail.com,+62 (133) 000 6170,no
8428720,Warta,Pertiwi,paramitasaputra@gmail.com,(052) 494-9601,no
2535156,Himawan,Halimah,marsitorajata@yahoo.com,+62 (192) 414-1221,no
2950254,Karsa,Rahayu,putrasamiah@hotmail.com,(0402) 238-8028,no
9491674,Lukman,Nashiruddin,pranowoelma@yahoo.com,+62 (015) 281 4113,no
5870435,Karma,Mahendra,prastutidarijan@yahoo.com,+62 (943) 905 3569,no
8503921,Galar,Nashiruddin,jailnababan@yahoo.com,(057) 072-2473,yes
9736347,Lurhur,Uyainah,wawan31@gmail.com,+62 (063) 003 6564,yes
8500106,Zelaya,Siregar,zwacana@gmail.com,+62 (0510) 829-3724,no
4966402,Vivi,Nainggolan,agustinaanggabaya@yahoo.com,+62 (0620) 633-7065,no
9857085,Julia,Tarihoran,xananakuswandari@hotmail.com,+62-844-435-2737,yes
4491669,Kayla,Suryatmi,usamahsalwa@yahoo.com,0853801267,yes
5591740,Hafshah,Pranowo,upurnawati@hotmail.com,+62 (42) 520 5982,no
9447755,Asirwanda,Prasasta,mulyonopranowo@yahoo.com,(091) 864-3050,yes
3518822,Vera,Yulianti,dhalim@yahoo.com,0890275963,yes
9216768,Zahra,Novitasari,haryantitira@hotmail.com,(0774) 383 9955,no
7639516,Titin,Uwais,znasyiah@gmail.com,(0397) 187 8633,yes
9553585,Luis,Padmasari,anitaandriani@gmail.com,+62-63-549-1472,no
1724513,Laswi,Simbolon,artawan26@yahoo.com,+62 (0272) 613-1619,yes
8110007,Gamblang,Siregar,dwijayanti@yahoo.com,+62 (03) 620 8202,no
5477525,Ibun,Kuswoyo,damanikliman@yahoo.com,(0405) 218 6986,yes
8538551,Kartika,Novitasari,farhunnisa92@gmail.com,082 916 0729,no
3981232,Harsanto,Budiyanto,hamima39@hotmail.com,(0100) 547-0022,no
3948074,Oman,Mahendra,fusada@hotmail.com,+62 (184) 309 6465,no
3360499,Zalindra,Prasasta,yuliartizulfa@hotmail.com,+62 (078) 685-5949,no
6609258,Raina,Narpati,cengkal38@hotmail.com,+62 (033) 450-7985,yes
7245120,Caket,Purnawati,salsabilanamaga@yahoo.com,+62 (764) 866 5499,no
7090501,Gangsa,Nasyidah,susantiuda@yahoo.com,0837263355,no
2893700,Baktiadi,Farida,kandariyanti@yahoo.com,(047) 310 0688,yes
5893605,Nova,Sitompul,ipratama@yahoo.com,+62 (108) 608 1842,yes
6384264,Pranata,Januar,prasetya36@hotmail.com,(0239) 252-5744,no
9520924,Cemeti,Namaga,lutama@gmail.com,085 083 3830,no
7775500,Drajat,Mardhiyah,rkurniawan@hotmail.com,+62 (757) 050-9163,yes
6279021,Vivi,Rajasa,baguskurniawan@yahoo.com,+62 (98) 826-7290,no
4661553,Jelita,Mahendra,juliasitorus@yahoo.com,082 370 4650,no
9563808,Bagus,Kuswoyo,baktiono44@hotmail.com,+62 (65) 279-9733,yes
5844908,Puti,Suryono,luthfipurnawati@yahoo.com,+62 (048) 504 9101,no
5634740,Langgeng,Pradana,raden18@yahoo.com,+62-0184-159-1137,no
1614940,Makuta,Palastri,setyahardiansyah@yahoo.com,0808902624,yes
5679429,Rahmat,Agustina,qnainggolan@hotmail.com,+62 (021) 240 7945,no
4412747,Padma,Dabukke,xwidiastuti@gmail.com,+62-332-683-5217,no
3512113,Dalima,Nasyidah,upalastri@yahoo.com,(0120) 122 9928,yes
1322451,Gawati,Wijaya,yuliartiian@hotmail.com,+62 (068) 319 0106,yes
7665602,Nilam,Suryono,pancafarida@yahoo.com,(0432) 745-3360,yes
9761667,Kamidin,Palastri,nasabnashiruddin@hotmail.com,+62 (073) 398-4710,no
3445110,Gawati,Sitompul,duwais@gmail.com,(060) 833-1046,no
2548328,Radika,Wahyudin,zizi22@hotmail.com,+62 (028) 285 1999,no
1599026,Wirda,Ardianto,firgantorokalim@gmail.com,084 431 9555,yes
4454969,Farhunnisa,Wijaya,sihotangmartana@hotmail.com,(045) 069 4575,no
6352968,Zizi,Mardhiyah,driyanti@hotmail.com,+62 (0838) 109-0493,yes
